period,zone,scale,year,month,deviation
1903-10-01,1,1,1903,10,-0.48
1903-11-01,1,1,1903,11,-0.43
1903-12-01,1,1,1903,12,-0.51
1904-01-01,1,1,1904,1,-0.63
1904-02-01,1,1,1904,2,-0.57
1904-03-01,1,1,1904,3,-0.48
1904-04-01,1,1,1904,4,-0.5
1904-05-01,1,1,1904,5,-0.51
1904-06-01,1,1,1904,6,-0.48
1904-07-01,1,1,1904,7,-0.51
1904-08-01,1,1,1904,8,-0.49
1904-09-01,1,1,1904,9,-0.55
1904-10-01,1,1,1904,10,-0.39
1904-11-01,1,1,1904,11,-0.17
1904-12-01,1,1,1904,12,-0.33
1905-01-01,1,1,1905,1,-0.34
1905-02-01,1,1,1905,2,-0.59
1905-03-01,1,1,1905,3,-0.21
1905-04-01,1,1,1905,4,-0.33
1905-05-01,1,1,1905,5,-0.29
1905-06-01,1,1,1905,6,-0.28
1905-07-01,1,1,1905,7,-0.26
1905-08-01,1,1,1905,8,-0.2
1905-09-01,1,1,1905,9,-0.19
1905-10-01,1,1,1905,10,-0.25
1905-11-01,1,1,1905,11,-0.07
1905-12-01,1,1,1905,12,-0.13
1906-01-01,1,1,1906,1,-0.28
1906-02-01,1,1,1906,2,-0.29
1906-03-01,1,1,1906,3,-0.18
1906-04-01,1,1,1906,4,-0.05
1906-05-01,1,1,1906,5,-0.25
1906-06-01,1,1,1906,6,-0.19
1906-07-01,1,1,1906,7,-0.23
1906-08-01,1,1,1906,8,-0.2
1906-09-01,1,1,1906,9,-0.28
1906-10-01,1,1,1906,10,-0.2
1906-11-01,1,1,1906,11,-0.37
1906-12-01,1,1,1906,12,-0.14
1907-01-01,1,1,1907,1,-0.43
1907-02-01,1,1,1907,2,-0.51
1907-03-01,1,1,1907,3,-0.27
1907-04-01,1,1,1907,4,-0.37
1907-05-01,1,1,1907,5,-0.46
1907-06-01,1,1,1907,6,-0.42
1907-07-01,1,1,1907,7,-0.35
1907-08-01,1,1,1907,8,-0.34
1907-09-01,1,1,1907,9,-0.34
1907-10-01,1,1,1907,10,-0.22
1907-11-01,1,1,1907,11,-0.46
1907-12-01,1,1,1907,12,-0.46
1908-01-01,1,1,1908,1,-0.44
1908-02-01,1,1,1908,2,-0.32
1908-03-01,1,1,1908,3,-0.55
1908-04-01,1,1,1908,4,-0.44
1908-05-01,1,1,1908,5,-0.37
1908-06-01,1,1,1908,6,-0.38
1908-07-01,1,1,1908,7,-0.35
1908-08-01,1,1,1908,8,-0.46
1908-09-01,1,1,1908,9,-0.36
1908-10-01,1,1,1908,10,-0.44
1908-11-01,1,1,1908,11,-0.51
1908-12-01,1,1,1908,12,-0.49
1909-01-01,1,1,1909,1,-0.72
1909-02-01,1,1,1909,2,-0.46
1909-03-01,1,1,1909,3,-0.54
1909-04-01,1,1,1909,4,-0.59
1909-05-01,1,1,1909,5,-0.54
1909-06-01,1,1,1909,6,-0.52
1909-07-01,1,1,1909,7,-0.45
1909-08-01,1,1,1909,8,-0.33
1909-09-01,1,1,1909,9,-0.38
